scenario,supplier,component,release_week,allocated_units,available_capacity,master_capacity,release_utilization,incremental_cost
4,S-A2,AIRFRAME,12,4,4,4,1.0,176000.0
4,S-A2,AIRFRAME,13,4,4,4,1.0,176000.0
4,S-A2,AIRFRAME,14,2,4,4,0.5,88000.0
4,S-A2,AIRFRAME,15,2,4,4,0.5,88000.0
4,S-A2,AIRFRAME,16,1,4,4,0.25,44000.0
4,S-A2,AIRFRAME,17,2,4,4,0.5,88000.0
4,S-A2,AIRFRAME,18,2,4,4,0.5,88000.0
4,S-A2,AIRFRAME,19,2,4,4,0.5,88000.0
4,S-A2,AIRFRAME,20,2,4,4,0.5,88000.0
4,S-A2,AIRFRAME,21,1,4,4,0.25,44000.0
4,S-E1,ENGINE,-4,32,44,44,0.7272727273,0.0
4,S-E1,ENGINE,-3,32,44,44,0.7272727273,0.0
4,S-E1,ENGINE,-2,32,44,44,0.7272727273,0.0
4,S-E1,ENGINE,-1,34,44,44,0.7727272727,0.0
4,S-E1,ENGINE,0,34,44,44,0.7727272727,0.0
4,S-E1,ENGINE,1,32,44,44,0.7272727273,0.0
4,S-E1,ENGINE,2,34,44,44,0.7727272727,0.0
4,S-E1,ENGINE,3,32,44,44,0.7272727273,0.0
4,S-E1,ENGINE,4,32,44,44,0.7272727273,0.0
4,S-E1,ENGINE,5,32,44,44,0.7272727273,0.0
4,S-E1,ENGINE,6,32,44,44,0.7272727273,0.0
4,S-E1,ENGINE,7,32,44,44,0.7272727273,0.0
4,S-E1,ENGINE,8,32,44,44,0.7272727273,0.0
4,S-E1,ENGINE,9,36,44,44,0.8181818182,0.0
4,S-E1,ENGINE,10,38,44,44,0.8636363636,0.0
4,S-E1,ENGINE,11,36,44,44,0.8181818182,0.0
4,S-E1,ENGINE,12,36,44,44,0.8181818182,0.0
4,S-E1,ENGINE,13,36,44,44,0.8181818182,0.0
4,S-E1,ENGINE,14,36,44,44,0.8181818182,0.0
4,S-E1,ENGINE,15,38,44,44,0.8636363636,0.0
4,S-E1,ENGINE,16,36,44,44,0.8181818182,0.0
4,S-E1,ENGINE,17,36,44,44,0.8181818182,0.0
4,S-E1,ENGINE,18,36,44,44,0.8181818182,0.0
4,S-E1,ENGINE,19,36,44,44,0.8181818182,0.0
4,S-E1,ENGINE,20,38,44,44,0.8636363636,0.0
4,S-E1,ENGINE,21,38,44,44,0.8636363636,0.0
4,S-V1,AVIONICS,-2,16,22,22,0.7272727273,0.0
4,S-V1,AVIONICS,-1,16,22,22,0.7272727273,0.0
4,S-V1,AVIONICS,0,16,22,22,0.7272727273,0.0
4,S-V1,AVIONICS,1,17,22,22,0.7727272727,0.0
4,S-V1,AVIONICS,2,17,22,22,0.7727272727,0.0
4,S-V1,AVIONICS,3,16,22,22,0.7272727273,0.0
4,S-V1,AVIONICS,4,17,22,22,0.7727272727,0.0
4,S-V1,AVIONICS,5,16,22,22,0.7272727273,0.0
4,S-V1,AVIONICS,6,16,22,22,0.7272727273,0.0
4,S-V1,AVIONICS,7,16,22,22,0.7272727273,0.0
4,S-V1,AVIONICS,8,16,22,22,0.7272727273,0.0
4,S-V1,AVIONICS,9,16,22,22,0.7272727273,0.0
4,S-V1,AVIONICS,10,16,22,22,0.7272727273,0.0
4,S-V1,AVIONICS,11,18,22,22,0.8181818182,0.0
4,S-V1,AVIONICS,12,19,22,22,0.8636363636,0.0
4,S-V1,AVIONICS,13,18,22,22,0.8181818182,0.0
4,S-V1,AVIONICS,14,18,22,22,0.8181818182,0.0
4,S-V1,AVIONICS,15,18,22,22,0.8181818182,0.0
4,S-V1,AVIONICS,16,18,22,22,0.8181818182,0.0
4,S-V1,AVIONICS,17,19,22,22,0.8636363636,0.0
4,S-V1,AVIONICS,18,18,22,22,0.8181818182,0.0
4,S-V1,AVIONICS,19,18,22,22,0.8181818182,0.0
4,S-V1,AVIONICS,20,18,22,22,0.8181818182,0.0
4,S-V1,AVIONICS,21,18,22,22,0.8181818182,0.0
4,S-V1,AVIONICS,22,19,22,22,0.8636363636,0.0
4,S-V1,AVIONICS,23,19,22,22,0.8636363636,0.0
